Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
73828,B4Ca4O16Tb2Y2,313ca5d718,Ca2TbY(BO4)2,"['B', 'O', 'Ca', 'Y', 'Tb']",28,371.4588,4.2701,mm2,Pmc2_1,26,orthorhombic,-234.8843,-3.5277,-0.0089,intercalated ion,4.2747,True,0.0,,-0.0089,-0.0039
75470,B8Ba5Ga8O32Sr3,324bec0644,Ba5Sr3Ga8(BO4)8,"['B', 'O', 'Ga', 'Sr', 'Ba']",56,908.6349,3.8483,m,Pm,6,monoclinic,-411.693,-2.8756,-0.0029,intercalated ion,3.7668,True,0.0,,-0.0029,-0.002
78558,B8Ba2O52S12Sr2,3461eca097,BaSrB4(S3O13)2,"['B', 'O', 'S', 'Sr', 'Ba']",76,965.3418,3.0157,mm2,Pmc2_1,26,orthorhombic,-543.14,-2.31,-0.0132,intercalated ion,6.2061,True,0.0,,-0.0132,-0.0011
82035,Al2B2Be2O14Tb4,36be9d39d5,Tb2BeAlBO7,"['Be', 'B', 'O', 'Al', 'Tb']",24,259.3981,6.1026,2,P2_1,4,monoclinic,-201.5799,-3.5601,-0.0353,intercalated ion,5.0398,True,0.0,,-0.0353,-0.002
87445,B3F5O2,3a54247ac9,B3O2F5,"['B', 'O', 'F']",10,150.3891,1.7603,1,P1,1,triclinic,-69.6198,-3.0128,-0.0051,0D,7.2085,True,0.0,,-0.0051,-0.005
91181,B4Cs1Li4Na2O12Rb5,3ccf0f77af,CsRb5Na2Li4(BO3)4,"['Li', 'B', 'O', 'Na', 'Rb', 'Cs']",28,456.6565,3.1608,1,P1,1,triclinic,-167.7315,-2.3414,-0.0783,intercalated ion,,False,0.0,,-0.0783,-0.0117
91335,B4Ca4O16Tb1Y3,3ceb069df0,Ca4TbY3(BO4)4,"['B', 'O', 'Ca', 'Y', 'Tb']",28,370.8063,3.964,m,Pm,6,monoclinic,-236.6705,-3.526,-0.0046,intercalated ion,4.3068,True,-0.0,,-0.0046,-0.002
91645,B4O24Rb4Si8,3d2026bb8c,RbSi2BO6,"['B', 'O', 'Si', 'Rb']",40,509.5457,3.2386,222,P2_12_12_1,19,orthorhombic,-314.3365,-3.0386,-0.0165,intercalated ion,,True,0.0,,-0.0165,-0.0108
92483,B4O16Sr4Tb3Y1,3db78a8797,Sr4Tb3Y(BO4)4,"['B', 'O', 'Sr', 'Y', 'Tb']",28,397.2763,5.0801,m,Pm,6,monoclinic,-230.9789,-3.4988,-0.01,intercalated ion,4.1261,False,0.0,,-0.01,-0.0062
96822,B8Gd1Li12O24Tb3,409a30f8c0,Li12Tb3Gd(BO3)8,"['Li', 'B', 'O', 'Gd', 'Tb']",48,510.361,3.8647,1,P1,1,triclinic,-366.4306,-2.9866,-0.0304,intercalated ion,3.3666,True,-0.0,,-0.0304,-0.0082
